"","av","Time","SharePerHour","diaryday"
"7276","Personal care",165,76.74,"3"
"7277","Personal care",165,80.51,"4"
"7278","Religion and volunteering",165,0.05,"1"
"7279","Religion and volunteering",165,0.07,"2"
"7280","Religion and volunteering",165,0.02,"3"
"7281","Religion and volunteering",165,0.1,"4"
"7282","School / Study",165,0.02,"1"
"7283","School / Study",165,0.02,"3"
"7284","School / Study",165,0.02,"4"
"7285","Social leisure",165,0.25,"1"
"7286","Social leisure",165,0.72,"2"
"7287","Social leisure",165,0.79,"3"
"7288","Social leisure",165,0.2,"4"
"7289","Sport exercise",165,0.02,"1"
"7290","Sport exercise",165,0.05,"2"
"7291","Sport exercise",165,0.05,"3"
"7292","TV/radio",165,0.22,"1"
"7293","TV/radio",165,0.57,"2"
"7294","TV/radio",165,0.57,"3"
"7295","TV/radio",165,0.52,"4"
"7296","Cultural leisure",166,0.05,"1"
"7297","Cultural leisure",166,0.22,"2"
"7298","Cultural leisure",166,0.07,"3"
"7299","Cultural leisure",166,0.15,"4"
"7300","Domestic work",166,0.12,"1"
"7301","Domestic work",166,0.07,"2"
"7302","Domestic work",166,0.12,"3"
"7303","Domestic work",166,0.02,"4"
"7304","Eat drink",166,0.2,"1"
"7305","Eat drink",166,0.42,"2"
"7306","Eat drink",166,0.52,"3"
"7307","Eat drink",166,0.37,"4"
"7308","Miscellaneous",166,13.64,"1"
"7309","Miscellaneous",166,17.23,"2"
"7310","Miscellaneous",166,20.38,"3"
"7311","Miscellaneous",166,17.9,"4"
"7312","Nonsocial leisure",166,0.22,"1"
"7313","Nonsocial leisure",166,0.57,"2"
"7314","Nonsocial leisure",166,0.45,"3"
"7315","Nonsocial leisure",166,0.1,"4"
"7316","Paid work",166,0.07,"1"
"7317","Paid work",166,0.05,"2"
"7318","Paid work",166,0.07,"3"
"7319","Paid work",166,0.07,"4"
"7320","Personal care",166,85.12,"1"
"7321","Personal care",166,80.04,"2"
"7322","Personal care",166,76.92,"3"
"7323","Personal care",166,80.56,"4"
"7324","Religion and volunteering",166,0.05,"1"
"7325","Religion and volunteering",166,0.1,"2"
"7326","Religion and volunteering",166,0.02,"3"
"7327","Religion and volunteering",166,0.1,"4"
"7328","School / Study",166,0.02,"1"
"7329","School / Study",166,0.02,"3"
"7330","School / Study",166,0.02,"4"
"7331","Social leisure",166,0.25,"1"
"7332","Social leisure",166,0.72,"2"
"7333","Social leisure",166,0.82,"3"
"7334","Social leisure",166,0.2,"4"
"7335","Sport exercise",166,0.02,"1"
"7336","Sport exercise",166,0.02,"2"
"7337","Sport exercise",166,0.02,"3"
"7338","TV/radio",166,0.22,"1"
"7339","TV/radio",166,0.55,"2"
"7340","TV/radio",166,0.57,"3"
"7341","TV/radio",166,0.5,"4"
"7342","Cultural leisure",167,0.05,"1"
"7343","Cultural leisure",167,0.22,"2"
"7344","Cultural leisure",167,0.07,"3"
"7345","Cultural leisure",167,0.15,"4"
"7346","Domestic work",167,0.12,"1"
"7347","Domestic work",167,0.07,"2"
"7348","Domestic work",167,0.12,"3"
"7349","Domestic work",167,0.02,"4"
"7350","Eat drink",167,0.2,"1"
"7351","Eat drink",167,0.42,"2"
"7352","Eat drink",167,0.52,"3"
"7353","Eat drink",167,0.37,"4"
"7354","Miscellaneous",167,13.64,"1"
"7355","Miscellaneous",167,17.23,"2"
"7356","Miscellaneous",167,20.38,"3"
"7357","Miscellaneous",167,17.9,"4"
"7358","Nonsocial leisure",167,0.22,"1"
"7359","Nonsocial leisure",167,0.57,"2"
"7360","Nonsocial leisure",167,0.45,"3"
"7361","Nonsocial leisure",167,0.1,"4"
"7362","Paid work",167,0.07,"1"
"7363","Paid work",167,0.05,"2"
"7364","Paid work",167,0.07,"3"
"7365","Paid work",167,0.07,"4"
"7366","Personal care",167,85.12,"1"
"7367","Personal care",167,80.04,"2"
"7368","Personal care",167,76.92,"3"
"7369","Personal care",167,80.56,"4"
"7370","Religion and volunteering",167,0.05,"1"
"7371","Religion and volunteering",167,0.1,"2"
"7372","Religion and volunteering",167,0.02,"3"
"7373","Religion and volunteering",167,0.1,"4"
"7374","School / Study",167,0.02,"1"
"7375","School / Study",167,0.02,"3"
"7376","School / Study",167,0.02,"4"
"7377","Social leisure",167,0.25,"1"
"7378","Social leisure",167,0.72,"2"
"7379","Social leisure",167,0.82,"3"
"7380","Social leisure",167,0.2,"4"
"7381","Sport exercise",167,0.02,"1"
"7382","Sport exercise",167,0.02,"2"
"7383","Sport exercise",167,0.02,"3"
"7384","TV/radio",167,0.22,"1"
"7385","TV/radio",167,0.55,"2"
"7386","TV/radio",167,0.57,"3"
"7387","TV/radio",167,0.5,"4"
"7388","Cultural leisure",168,0.05,"1"
"7389","Cultural leisure",168,0.22,"2"
"7390","Cultural leisure",168,0.07,"3"
"7391","Cultural leisure",168,0.15,"4"
"7392","Domestic work",168,0.12,"1"
"7393","Domestic work",168,0.07,"2"
"7394","Domestic work",168,0.12,"3"
"7395","Domestic work",168,0.02,"4"
"7396","Eat drink",168,0.2,"1"
"7397","Eat drink",168,0.42,"2"
"7398","Eat drink",168,0.52,"3"
"7399","Eat drink",168,0.37,"4"
"7400","Miscellaneous",168,13.64,"1"
"7401","Miscellaneous",168,17.23,"2"
"7402","Miscellaneous",168,20.38,"3"
"7403","Miscellaneous",168,17.9,"4"
"7404","Nonsocial leisure",168,0.22,"1"
"7405","Nonsocial leisure",168,0.57,"2"
"7406","Nonsocial leisure",168,0.45,"3"
"7407","Nonsocial leisure",168,0.1,"4"
"7408","Paid work",168,0.07,"1"
"7409","Paid work",168,0.05,"2"
"7410","Paid work",168,0.07,"3"
"7411","Paid work",168,0.07,"4"
"7412","Personal care",168,85.12,"1"
"7413","Personal care",168,80.04,"2"
"7414","Personal care",168,76.92,"3"
"7415","Personal care",168,80.56,"4"
"7416","Religion and volunteering",168,0.05,"1"
"7417","Religion and volunteering",168,0.1,"2"
"7418","Religion and volunteering",168,0.02,"3"
"7419","Religion and volunteering",168,0.1,"4"
"7420","School / Study",168,0.02,"1"
"7421","School / Study",168,0.02,"3"
"7422","School / Study",168,0.02,"4"
"7423","Social leisure",168,0.25,"1"
"7424","Social leisure",168,0.72,"2"
"7425","Social leisure",168,0.82,"3"
"7426","Social leisure",168,0.2,"4"
"7427","Sport exercise",168,0.02,"1"
"7428","Sport exercise",168,0.02,"2"
"7429","Sport exercise",168,0.02,"3"
"7430","TV/radio",168,0.22,"1"
"7431","TV/radio",168,0.55,"2"
"7432","TV/radio",168,0.57,"3"
"7433","TV/radio",168,0.5,"4"
"7434","Cultural leisure",169,0.05,"1"
"7435","Cultural leisure",169,0.22,"2"
"7436","Cultural leisure",169,0.07,"3"
"7437","Cultural leisure",169,0.15,"4"
"7438","Domestic work",169,0.12,"1"
"7439","Domestic work",169,0.07,"2"
"7440","Domestic work",169,0.12,"3"
"7441","Domestic work",169,0.02,"4"
"7442","Eat drink",169,0.2,"1"
"7443","Eat drink",169,0.42,"2"
"7444","Eat drink",169,0.52,"3"
"7445","Eat drink",169,0.37,"4"
"7446","Miscellaneous",169,13.64,"1"
"7447","Miscellaneous",169,17.23,"2"
"7448","Miscellaneous",169,20.38,"3"
"7449","Miscellaneous",169,17.9,"4"
"7450","Nonsocial leisure",169,0.22,"1"
"7451","Nonsocial leisure",169,0.57,"2"
"7452","Nonsocial leisure",169,0.45,"3"
"7453","Nonsocial leisure",169,0.1,"4"
"7454","Paid work",169,0.07,"1"
"7455","Paid work",169,0.05,"2"
"7456","Paid work",169,0.07,"3"
"7457","Paid work",169,0.07,"4"
"7458","Personal care",169,85.12,"1"
"7459","Personal care",169,80.04,"2"
"7460","Personal care",169,76.92,"3"
"7461","Personal care",169,80.56,"4"
"7462","Religion and volunteering",169,0.05,"1"
"7463","Religion and volunteering",169,0.1,"2"
"7464","Religion and volunteering",169,0.02,"3"
"7465","Religion and volunteering",169,0.1,"4"
"7466","School / Study",169,0.02,"1"
"7467","School / Study",169,0.02,"3"
"7468","School / Study",169,0.02,"4"
"7469","Social leisure",169,0.25,"1"
"7470","Social leisure",169,0.72,"2"
"7471","Social leisure",169,0.82,"3"
"7472","Social leisure",169,0.2,"4"
"7473","Sport exercise",169,0.02,"1"
"7474","Sport exercise",169,0.02,"2"
"7475","Sport exercise",169,0.02,"3"
"7476","TV/radio",169,0.22,"1"
"7477","TV/radio",169,0.55,"2"
"7478","TV/radio",169,0.57,"3"
"7479","TV/radio",169,0.5,"4"
"7480","Cultural leisure",170,0.05,"1"
"7481","Cultural leisure",170,0.22,"2"
"7482","Cultural leisure",170,0.07,"3"
"7483","Cultural leisure",170,0.15,"4"
"7484","Domestic work",170,0.12,"1"
"7485","Domestic work",170,0.07,"2"
"7486","Domestic work",170,0.12,"3"
"7487","Domestic work",170,0.02,"4"
"7488","Eat drink",170,0.2,"1"
"7489","Eat drink",170,0.42,"2"
"7490","Eat drink",170,0.52,"3"
"7491","Eat drink",170,0.37,"4"
"7492","Miscellaneous",170,13.64,"1"
"7493","Miscellaneous",170,17.23,"2"
"7494","Miscellaneous",170,20.38,"3"
"7495","Miscellaneous",170,17.9,"4"
"7496","Nonsocial leisure",170,0.22,"1"
"7497","Nonsocial leisure",170,0.57,"2"
"7498","Nonsocial leisure",170,0.45,"3"
"7499","Nonsocial leisure",170,0.1,"4"
"7500","Paid work",170,0.07,"1"
"7501","Paid work",170,0.05,"2"
"7502","Paid work",170,0.07,"3"
"7503","Paid work",170,0.07,"4"
"7504","Personal care",170,85.12,"1"
"7505","Personal care",170,80.04,"2"
"7506","Personal care",170,76.92,"3"
"7507","Personal care",170,80.56,"4"
"7508","Religion and volunteering",170,0.05,"1"
"7509","Religion and volunteering",170,0.1,"2"
"7510","Religion and volunteering",170,0.02,"3"
"7511","Religion and volunteering",170,0.1,"4"
"7512","School / Study",170,0.02,"1"
"7513","School / Study",170,0.02,"3"
"7514","School / Study",170,0.02,"4"
"7515","Social leisure",170,0.25,"1"
"7516","Social leisure",170,0.72,"2"
"7517","Social leisure",170,0.82,"3"
"7518","Social leisure",170,0.2,"4"
"7519","Sport exercise",170,0.02,"1"
"7520","Sport exercise",170,0.02,"2"
"7521","Sport exercise",170,0.02,"3"
"7522","TV/radio",170,0.22,"1"
"7523","TV/radio",170,0.55,"2"
"7524","TV/radio",170,0.57,"3"
"7525","TV/radio",170,0.5,"4"
"7526","Cultural leisure",171,0.05,"1"
"7527","Cultural leisure",171,0.22,"2"
"7528","Cultural leisure",171,0.07,"3"
"7529","Cultural leisure",171,0.15,"4"
"7530","Domestic work",171,0.12,"1"
"7531","Domestic work",171,0.07,"2"
"7532","Domestic work",171,0.12,"3"
"7533","Domestic work",171,0.02,"4"
"7534","Eat drink",171,0.2,"1"
"7535","Eat drink",171,0.42,"2"
"7536","Eat drink",171,0.52,"3"
"7537","Eat drink",171,0.37,"4"
"7538","Miscellaneous",171,13.64,"1"
"7539","Miscellaneous",171,17.26,"2"
"7540","Miscellaneous",171,20.28,"3"
"7541","Miscellaneous",171,17.88,"4"
"7542","Nonsocial leisure",171,0.2,"1"
"7543","Nonsocial leisure",171,0.52,"2"
"7544","Nonsocial leisure",171,0.47,"3"
"7545","Nonsocial leisure",171,0.1,"4"
"7546","Paid work",171,0.07,"1"
"7547","Paid work",171,0.05,"2"
"7548","Paid work",171,0.07,"3"
"7549","Paid work",171,0.07,"4"
"7550","Personal care",171,85.15,"1"
"7551","Personal care",171,80.11,"2"
"7552","Personal care",171,77.01,"3"
"7553","Personal care",171,80.59,"4"
"7554","Religion and volunteering",171,0.05,"1"
"7555","Religion and volunteering",171,0.07,"2"
"7556","Religion and volunteering",171,0.02,"3"
"7557","Religion and volunteering",171,0.1,"4"
"7558","School / Study",171,0.02,"1"
"7559","School / Study",171,0.02,"3"
"7560","School / Study",171,0.02,"4"
"7561","Social leisure",171,0.25,"1"
"7562","Social leisure",171,0.72,"2"
"7563","Social leisure",171,0.79,"3"
"7564","Social leisure",171,0.2,"4"
"7565","Sport exercise",171,0.02,"1"
"7566","Sport exercise",171,0.02,"2"
"7567","Sport exercise",171,0.02,"3"
"7568","TV/radio",171,0.22,"1"
"7569","TV/radio",171,0.52,"2"
"7570","TV/radio",171,0.57,"3"
"7571","TV/radio",171,0.5,"4"
"7572","Cultural leisure",172,0.05,"1"
"7573","Cultural leisure",172,0.22,"2"
"7574","Cultural leisure",172,0.07,"3"
"7575","Cultural leisure",172,0.15,"4"
"7576","Domestic work",172,0.12,"1"
"7577","Domestic work",172,0.07,"2"
"7578","Domestic work",172,0.12,"3"
"7579","Domestic work",172,0.02,"4"
"7580","Eat drink",172,0.2,"1"
"7581","Eat drink",172,0.42,"2"
"7582","Eat drink",172,0.52,"3"
"7583","Eat drink",172,0.37,"4"
"7584","Miscellaneous",172,13.64,"1"
"7585","Miscellaneous",172,17.26,"2"
"7586","Miscellaneous",172,20.28,"3"
"7587","Miscellaneous",172,17.88,"4"
"7588","Nonsocial leisure",172,0.2,"1"
"7589","Nonsocial leisure",172,0.52,"2"
"7590","Nonsocial leisure",172,0.47,"3"
"7591","Nonsocial leisure",172,0.1,"4"
"7592","Paid work",172,0.07,"1"
"7593","Paid work",172,0.05,"2"
"7594","Paid work",172,0.07,"3"
"7595","Paid work",172,0.07,"4"
"7596","Personal care",172,85.15,"1"
"7597","Personal care",172,80.11,"2"
"7598","Personal care",172,77.01,"3"
"7599","Personal care",172,80.59,"4"
"7600","Religion and volunteering",172,0.05,"1"
"7601","Religion and volunteering",172,0.07,"2"
"7602","Religion and volunteering",172,0.02,"3"
"7603","Religion and volunteering",172,0.1,"4"
"7604","School / Study",172,0.02,"1"
"7605","School / Study",172,0.02,"3"
"7606","School / Study",172,0.02,"4"
"7607","Social leisure",172,0.25,"1"
"7608","Social leisure",172,0.72,"2"
"7609","Social leisure",172,0.79,"3"
"7610","Social leisure",172,0.2,"4"
"7611","Sport exercise",172,0.02,"1"
"7612","Sport exercise",172,0.02,"2"
"7613","Sport exercise",172,0.02,"3"
"7614","TV/radio",172,0.22,"1"
"7615","TV/radio",172,0.52,"2"
"7616","TV/radio",172,0.57,"3"
"7617","TV/radio",172,0.5,"4"
"7618","Cultural leisure",173,0.05,"1"
"7619","Cultural leisure",173,0.22,"2"
"7620","Cultural leisure",173,0.07,"3"
"7621","Cultural leisure",173,0.15,"4"
"7622","Domestic work",173,0.12,"1"
"7623","Domestic work",173,0.07,"2"
"7624","Domestic work",173,0.12,"3"
"7625","Domestic work",173,0.02,"4"
"7626","Eat drink",173,0.2,"1"
"7627","Eat drink",173,0.42,"2"
"7628","Eat drink",173,0.52,"3"
"7629","Eat drink",173,0.37,"4"
"7630","Miscellaneous",173,13.64,"1"
"7631","Miscellaneous",173,17.26,"2"
"7632","Miscellaneous",173,20.28,"3"
"7633","Miscellaneous",173,17.88,"4"
"7634","Nonsocial leisure",173,0.2,"1"
"7635","Nonsocial leisure",173,0.52,"2"
"7636","Nonsocial leisure",173,0.47,"3"
"7637","Nonsocial leisure",173,0.1,"4"
"7638","Paid work",173,0.07,"1"
"7639","Paid work",173,0.05,"2"
"7640","Paid work",173,0.07,"3"
"7641","Paid work",173,0.07,"4"
"7642","Personal care",173,85.15,"1"
"7643","Personal care",173,80.11,"2"
"7644","Personal care",173,77.01,"3"
"7645","Personal care",173,80.59,"4"
"7646","Religion and volunteering",173,0.05,"1"
"7647","Religion and volunteering",173,0.07,"2"
"7648","Religion and volunteering",173,0.02,"3"
"7649","Religion and volunteering",173,0.1,"4"
"7650","School / Study",173,0.02,"1"
"7651","School / Study",173,0.02,"3"
"7652","School / Study",173,0.02,"4"
"7653","Social leisure",173,0.25,"1"
"7654","Social leisure",173,0.72,"2"
"7655","Social leisure",173,0.79,"3"
"7656","Social leisure",173,0.2,"4"
"7657","Sport exercise",173,0.02,"1"
"7658","Sport exercise",173,0.02,"2"
"7659","Sport exercise",173,0.02,"3"
"7660","TV/radio",173,0.22,"1"
"7661","TV/radio",173,0.52,"2"
"7662","TV/radio",173,0.57,"3"
"7663","TV/radio",173,0.5,"4"
"7664","Cultural leisure",174,0.05,"1"
"7665","Cultural leisure",174,0.22,"2"
"7666","Cultural leisure",174,0.07,"3"
"7667","Cultural leisure",174,0.15,"4"
"7668","Domestic work",174,0.12,"1"
"7669","Domestic work",174,0.07,"2"
"7670","Domestic work",174,0.12,"3"
"7671","Domestic work",174,0.02,"4"
"7672","Eat drink",174,0.2,"1"
"7673","Eat drink",174,0.42,"2"
"7674","Eat drink",174,0.52,"3"
"7675","Eat drink",174,0.37,"4"
"7676","Miscellaneous",174,13.64,"1"
"7677","Miscellaneous",174,17.26,"2"
"7678","Miscellaneous",174,20.28,"3"
"7679","Miscellaneous",174,17.88,"4"
"7680","Nonsocial leisure",174,0.2,"1"
"7681","Nonsocial leisure",174,0.52,"2"
"7682","Nonsocial leisure",174,0.47,"3"
"7683","Nonsocial leisure",174,0.1,"4"
"7684","Paid work",174,0.07,"1"
"7685","Paid work",174,0.05,"2"
"7686","Paid work",174,0.07,"3"
"7687","Paid work",174,0.07,"4"
"7688","Personal care",174,85.15,"1"
"7689","Personal care",174,80.11,"2"
"7690","Personal care",174,77.01,"3"
"7691","Personal care",174,80.59,"4"
"7692","Religion and volunteering",174,0.05,"1"
"7693","Religion and volunteering",174,0.07,"2"
"7694","Religion and volunteering",174,0.02,"3"
"7695","Religion and volunteering",174,0.1,"4"
"7696","School / Study",174,0.02,"1"
"7697","School / Study",174,0.02,"3"
"7698","School / Study",174,0.02,"4"
"7699","Social leisure",174,0.25,"1"
"7700","Social leisure",174,0.72,"2"
"7701","Social leisure",174,0.79,"3"
"7702","Social leisure",174,0.2,"4"
"7703","Sport exercise",174,0.02,"1"
"7704","Sport exercise",174,0.02,"2"
"7705","Sport exercise",174,0.02,"3"
"7706","TV/radio",174,0.22,"1"
"7707","TV/radio",174,0.52,"2"
"7708","TV/radio",174,0.57,"3"
"7709","TV/radio",174,0.5,"4"
"7710","Cultural leisure",175,0.05,"1"
"7711","Cultural leisure",175,0.22,"2"
"7712","Cultural leisure",175,0.07,"3"
"7713","Cultural leisure",175,0.15,"4"
"7714","Domestic work",175,0.12,"1"
"7715","Domestic work",175,0.07,"2"
"7716","Domestic work",175,0.12,"3"
"7717","Domestic work",175,0.02,"4"
"7718","Eat drink",175,0.2,"1"
"7719","Eat drink",175,0.42,"2"
"7720","Eat drink",175,0.52,"3"
"7721","Eat drink",175,0.37,"4"
"7722","Miscellaneous",175,13.64,"1"
"7723","Miscellaneous",175,17.26,"2"
"7724","Miscellaneous",175,20.28,"3"
"7725","Miscellaneous",175,17.88,"4"
"7726","Nonsocial leisure",175,0.2,"1"
"7727","Nonsocial leisure",175,0.52,"2"
"7728","Nonsocial leisure",175,0.47,"3"
"7729","Nonsocial leisure",175,0.1,"4"
"7730","Paid work",175,0.07,"1"
"7731","Paid work",175,0.05,"2"
"7732","Paid work",175,0.07,"3"
"7733","Paid work",175,0.07,"4"
"7734","Personal care",175,85.15,"1"
"7735","Personal care",175,80.11,"2"
"7736","Personal care",175,77.01,"3"
"7737","Personal care",175,80.59,"4"
"7738","Religion and volunteering",175,0.05,"1"
"7739","Religion and volunteering",175,0.07,"2"
"7740","Religion and volunteering",175,0.02,"3"
"7741","Religion and volunteering",175,0.1,"4"
"7742","School / Study",175,0.02,"1"
"7743","School / Study",175,0.02,"3"
"7744","School / Study",175,0.02,"4"
"7745","Social leisure",175,0.25,"1"
"7746","Social leisure",175,0.72,"2"
"7747","Social leisure",175,0.79,"3"
"7748","Social leisure",175,0.2,"4"
"7749","Sport exercise",175,0.02,"1"
"7750","Sport exercise",175,0.02,"2"
"7751","Sport exercise",175,0.02,"3"
"7752","TV/radio",175,0.22,"1"
"7753","TV/radio",175,0.52,"2"
"7754","TV/radio",175,0.57,"3"
"7755","TV/radio",175,0.5,"4"
"7756","Cultural leisure",176,0.05,"1"
"7757","Cultural leisure",176,0.22,"2"
"7758","Cultural leisure",176,0.07,"3"
"7759","Cultural leisure",176,0.15,"4"
"7760","Domestic work",176,0.12,"1"
"7761","Domestic work",176,0.07,"2"
"7762","Domestic work",176,0.12,"3"
"7763","Domestic work",176,0.02,"4"
"7764","Eat drink",176,0.2,"1"
"7765","Eat drink",176,0.42,"2"
"7766","Eat drink",176,0.52,"3"
"7767","Eat drink",176,0.37,"4"
"7768","Miscellaneous",176,13.64,"1"
"7769","Miscellaneous",176,17.21,"2"
"7770","Miscellaneous",176,20.21,"3"
"7771","Miscellaneous",176,17.85,"4"
"7772","Nonsocial leisure",176,0.2,"1"
"7773","Nonsocial leisure",176,0.55,"2"
"7774","Nonsocial leisure",176,0.47,"3"
"7775","Nonsocial leisure",176,0.1,"4"
"7776","Paid work",176,0.07,"1"
"7777","Paid work",176,0.05,"2"
"7778","Paid work",176,0.07,"3"
"7779","Paid work",176,0.07,"4"
"7780","Personal care",176,85.15,"1"
"7781","Personal care",176,80.11,"2"
"7782","Personal care",176,77.09,"3"
"7783","Personal care",176,80.61,"4"
"7784","Religion and volunteering",176,0.05,"1"
"7785","Religion and volunteering",176,0.1,"2"
"7786","Religion and volunteering",176,0.02,"3"
"7787","Religion and volunteering",176,0.1,"4"
"7788","School / Study",176,0.02,"1"
"7789","School / Study",176,0.02,"3"
"7790","School / Study",176,0.02,"4"
"7791","Social leisure",176,0.25,"1"
"7792","Social leisure",176,0.72,"2"
"7793","Social leisure",176,0.79,"3"
"7794","Social leisure",176,0.17,"4"
"7795","Sport exercise",176,0.02,"1"
"7796","Sport exercise",176,0.02,"2"
"7797","Sport exercise",176,0.02,"3"
"7798","Sport exercise",176,0.02,"4"
"7799","TV/radio",176,0.22,"1"
"7800","TV/radio",176,0.52,"2"
"7801","TV/radio",176,0.57,"3"
"7802","TV/radio",176,0.5,"4"
"7803","Cultural leisure",177,0.05,"1"
"7804","Cultural leisure",177,0.22,"2"
"7805","Cultural leisure",177,0.07,"3"
"7806","Cultural leisure",177,0.15,"4"
"7807","Domestic work",177,0.12,"1"
"7808","Domestic work",177,0.07,"2"
"7809","Domestic work",177,0.12,"3"
"7810","Domestic work",177,0.02,"4"
"7811","Eat drink",177,0.2,"1"
"7812","Eat drink",177,0.42,"2"
"7813","Eat drink",177,0.52,"3"
"7814","Eat drink",177,0.37,"4"
"7815","Miscellaneous",177,13.64,"1"
"7816","Miscellaneous",177,17.21,"2"
"7817","Miscellaneous",177,20.21,"3"
"7818","Miscellaneous",177,17.85,"4"
"7819","Nonsocial leisure",177,0.2,"1"
"7820","Nonsocial leisure",177,0.55,"2"
"7821","Nonsocial leisure",177,0.47,"3"
"7822","Nonsocial leisure",177,0.1,"4"
"7823","Paid work",177,0.07,"1"
"7824","Paid work",177,0.05,"2"
"7825","Paid work",177,0.07,"3"
"7826","Paid work",177,0.07,"4"
"7827","Personal care",177,85.15,"1"
"7828","Personal care",177,80.11,"2"
"7829","Personal care",177,77.09,"3"
"7830","Personal care",177,80.61,"4"
"7831","Religion and volunteering",177,0.05,"1"
"7832","Religion and volunteering",177,0.1,"2"
"7833","Religion and volunteering",177,0.02,"3"
"7834","Religion and volunteering",177,0.1,"4"
"7835","School / Study",177,0.02,"1"
"7836","School / Study",177,0.02,"3"
"7837","School / Study",177,0.02,"4"
"7838","Social leisure",177,0.25,"1"
"7839","Social leisure",177,0.72,"2"
"7840","Social leisure",177,0.79,"3"
"7841","Social leisure",177,0.17,"4"
"7842","Sport exercise",177,0.02,"1"
"7843","Sport exercise",177,0.02,"2"
"7844","Sport exercise",177,0.02,"3"
"7845","Sport exercise",177,0.02,"4"
"7846","TV/radio",177,0.22,"1"
"7847","TV/radio",177,0.52,"2"
"7848","TV/radio",177,0.57,"3"
"7849","TV/radio",177,0.5,"4"
"7850","Cultural leisure",178,0.05,"1"
"7851","Cultural leisure",178,0.22,"2"
"7852","Cultural leisure",178,0.07,"3"
"7853","Cultural leisure",178,0.15,"4"
"7854","Domestic work",178,0.12,"1"
"7855","Domestic work",178,0.07,"2"
"7856","Domestic work",178,0.12,"3"
"7857","Domestic work",178,0.02,"4"
"7858","Eat drink",178,0.2,"1"
"7859","Eat drink",178,0.42,"2"
"7860","Eat drink",178,0.52,"3"
"7861","Eat drink",178,0.37,"4"
"7862","Miscellaneous",178,13.64,"1"
"7863","Miscellaneous",178,17.21,"2"
"7864","Miscellaneous",178,20.21,"3"
"7865","Miscellaneous",178,17.85,"4"
"7866","Nonsocial leisure",178,0.2,"1"
"7867","Nonsocial leisure",178,0.55,"2"
"7868","Nonsocial leisure",178,0.47,"3"
"7869","Nonsocial leisure",178,0.1,"4"
"7870","Paid work",178,0.07,"1"
"7871","Paid work",178,0.05,"2"
"7872","Paid work",178,0.07,"3"
"7873","Paid work",178,0.07,"4"
"7874","Personal care",178,85.15,"1"
"7875","Personal care",178,80.11,"2"
"7876","Personal care",178,77.09,"3"
"7877","Personal care",178,80.61,"4"
"7878","Religion and volunteering",178,0.05,"1"
"7879","Religion and volunteering",178,0.1,"2"
"7880","Religion and volunteering",178,0.02,"3"
"7881","Religion and volunteering",178,0.1,"4"
"7882","School / Study",178,0.02,"1"
"7883","School / Study",178,0.02,"3"
"7884","School / Study",178,0.02,"4"
"7885","Social leisure",178,0.25,"1"
"7886","Social leisure",178,0.72,"2"
"7887","Social leisure",178,0.79,"3"
"7888","Social leisure",178,0.17,"4"
"7889","Sport exercise",178,0.02,"1"
"7890","Sport exercise",178,0.02,"2"
"7891","Sport exercise",178,0.02,"3"
"7892","Sport exercise",178,0.02,"4"
"7893","TV/radio",178,0.22,"1"
"7894","TV/radio",178,0.52,"2"
"7895","TV/radio",178,0.57,"3"
"7896","TV/radio",178,0.5,"4"
"7897","Cultural leisure",179,0.05,"1"
"7898","Cultural leisure",179,0.22,"2"
"7899","Cultural leisure",179,0.07,"3"
"7900","Cultural leisure",179,0.15,"4"
"7901","Domestic work",179,0.12,"1"
"7902","Domestic work",179,0.07,"2"
"7903","Domestic work",179,0.12,"3"
"7904","Domestic work",179,0.02,"4"
"7905","Eat drink",179,0.2,"1"
"7906","Eat drink",179,0.42,"2"
"7907","Eat drink",179,0.52,"3"
"7908","Eat drink",179,0.37,"4"
"7909","Miscellaneous",179,13.64,"1"
"7910","Miscellaneous",179,17.21,"2"
"7911","Miscellaneous",179,20.21,"3"
"7912","Miscellaneous",179,17.85,"4"
"7913","Nonsocial leisure",179,0.2,"1"
"7914","Nonsocial leisure",179,0.55,"2"
"7915","Nonsocial leisure",179,0.47,"3"
"7916","Nonsocial leisure",179,0.1,"4"
"7917","Paid work",179,0.07,"1"
"7918","Paid work",179,0.05,"2"
"7919","Paid work",179,0.07,"3"
"7920","Paid work",179,0.07,"4"
"7921","Personal care",179,85.15,"1"
"7922","Personal care",179,80.11,"2"
"7923","Personal care",179,77.09,"3"
"7924","Personal care",179,80.61,"4"
"7925","Religion and volunteering",179,0.05,"1"
"7926","Religion and volunteering",179,0.1,"2"
"7927","Religion and volunteering",179,0.02,"3"
"7928","Religion and volunteering",179,0.1,"4"
"7929","School / Study",179,0.02,"1"
"7930","School / Study",179,0.02,"3"
"7931","School / Study",179,0.02,"4"
"7932","Social leisure",179,0.25,"1"
"7933","Social leisure",179,0.72,"2"
"7934","Social leisure",179,0.79,"3"
"7935","Social leisure",179,0.17,"4"
"7936","Sport exercise",179,0.02,"1"
"7937","Sport exercise",179,0.02,"2"
"7938","Sport exercise",179,0.02,"3"
"7939","Sport exercise",179,0.02,"4"
"7940","TV/radio",179,0.22,"1"
"7941","TV/radio",179,0.52,"2"
"7942","TV/radio",179,0.57,"3"
"7943","TV/radio",179,0.5,"4"
"7944","Cultural leisure",180,0.05,"1"
"7945","Cultural leisure",180,0.22,"2"
"7946","Cultural leisure",180,0.07,"3"
"7947","Cultural leisure",180,0.15,"4"
