"","av","Time","SharePerHour","diaryday"
"140","Eat drink",4,0.5,"3"
"141","Eat drink",4,0.25,"4"
"142","Miscellaneous",4,18.79,"1"
"143","Miscellaneous",4,39.03,"2"
"144","Miscellaneous",4,45.15,"3"
"145","Miscellaneous",4,29.51,"4"
"146","Nonsocial leisure",4,0.1,"1"
"147","Nonsocial leisure",4,0.72,"2"
"148","Nonsocial leisure",4,1.26,"3"
"149","Nonsocial leisure",4,0.17,"4"
"150","Paid work",4,0.02,"1"
"151","Paid work",4,0.15,"2"
"152","Paid work",4,0.07,"3"
"153","Personal care",4,80.31,"1"
"154","Personal care",4,57.65,"2"
"155","Personal care",4,50.66,"3"
"156","Personal care",4,69.18,"4"
"157","Religion and volunteering",4,0.05,"1"
"158","Religion and volunteering",4,0.02,"2"
"159","Religion and volunteering",4,0.02,"3"
"160","Religion and volunteering",4,0.07,"4"
"161","School / Study",4,0.02,"3"
"162","Social leisure",4,0.2,"1"
"163","Social leisure",4,0.52,"2"
"164","Social leisure",4,0.92,"3"
"165","Social leisure",4,0.25,"4"
"166","Sport exercise",4,0.05,"2"
"167","Sport exercise",4,0.17,"3"
"168","Sport exercise",4,0.02,"4"
"169","TV/radio",4,0.27,"1"
"170","TV/radio",4,0.77,"2"
"171","TV/radio",4,0.92,"3"
"172","TV/radio",4,0.4,"4"
"173","Cultural leisure",5,0.02,"1"
"174","Cultural leisure",5,0.25,"2"
"175","Cultural leisure",5,0.1,"3"
"176","Cultural leisure",5,0.1,"4"
"177","Domestic work",5,0.02,"1"
"178","Domestic work",5,0.2,"2"
"179","Domestic work",5,0.2,"3"
"180","Domestic work",5,0.05,"4"
"181","Eat drink",5,0.2,"1"
"182","Eat drink",5,0.64,"2"
"183","Eat drink",5,0.5,"3"
"184","Eat drink",5,0.25,"4"
"185","Miscellaneous",5,18.79,"1"
"186","Miscellaneous",5,39.03,"2"
"187","Miscellaneous",5,45.15,"3"
"188","Miscellaneous",5,29.51,"4"
"189","Nonsocial leisure",5,0.1,"1"
"190","Nonsocial leisure",5,0.72,"2"
"191","Nonsocial leisure",5,1.26,"3"
"192","Nonsocial leisure",5,0.17,"4"
"193","Paid work",5,0.02,"1"
"194","Paid work",5,0.15,"2"
"195","Paid work",5,0.07,"3"
"196","Personal care",5,80.31,"1"
"197","Personal care",5,57.65,"2"
"198","Personal care",5,50.66,"3"
"199","Personal care",5,69.18,"4"
"200","Religion and volunteering",5,0.05,"1"
"201","Religion and volunteering",5,0.02,"2"
"202","Religion and volunteering",5,0.02,"3"
"203","Religion and volunteering",5,0.07,"4"
"204","School / Study",5,0.02,"3"
"205","Social leisure",5,0.2,"1"
"206","Social leisure",5,0.52,"2"
"207","Social leisure",5,0.92,"3"
"208","Social leisure",5,0.25,"4"
"209","Sport exercise",5,0.05,"2"
"210","Sport exercise",5,0.17,"3"
"211","Sport exercise",5,0.02,"4"
"212","TV/radio",5,0.27,"1"
"213","TV/radio",5,0.77,"2"
"214","TV/radio",5,0.92,"3"
"215","TV/radio",5,0.4,"4"
"216","Cultural leisure",6,0.05,"1"
"217","Cultural leisure",6,0.32,"2"
"218","Cultural leisure",6,0.12,"3"
